Date,Merchant,Category,Amount,Account,Type
2026-01-12,Laundry,Utilities,15.00,Chase Checking,expense
2026-01-19,Laundry,Utilities,15.00,Chase Checking,expense
2026-01-26,Laundry,Utilities,15.00,Chase Checking,expense
2026-01-02,Parking,Transportation,10.00,Amex Gold,expense
2026-01-09,Parking,Transportation,10.00,Amex Gold,expense
2026-01-16,Parking,Transportation,10.00,Amex Gold,expense
2026-01-23,Parking,Transportation,10.00,Amex Gold,expense
2026-01-30,Parking,Transportation,10.00,Amex Gold,expense
2026-01-04,App Store,Entertainment,4.99,Amex Gold,expense
2026-01-11,App Store,Entertainment,0.99,Amex Gold,expense
2026-01-18,App Store,Entertainment,9.99,Amex Gold,expense
2026-01-25,App Store,Entertainment,2.99,Amex Gold,expense
2026-01-03,Drugstore,Health,12.40,Chase Checking,expense
2026-01-17,Drugstore,Health,8.50,Chase Checking,expense
2026-01-31,Drugstore,Health,15.20,Chase Checking,expense
2026-01-06,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-07,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-08,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-13,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-14,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-15,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-20,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-21,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-22,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-27,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-28,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-29,Bus Fare,Transportation,2.50,Chase Checking,expense
2026-01-01,Donation,Other,25.00,Chase Checking,expense
2026-01-15,Dividends,Income,12.40,Brokerage,income
2026-01-20,Interest,Income,4.50,Chase Checking,income
2026-01-05,Pet Store,Other,45.00,Amex Gold,expense
2026-01-18,Pet Store,Other,32.00,Amex Gold,expense
2026-01-08,Dry Cleaning,Other,28.00,Amex Gold,expense
2026-01-22,Dry Cleaning,Other,35.00,Amex Gold,expense
2026-01-10,Bakery,Food & Drink,8.40,Amex Gold,expense
2026-01-17,Bakery,Food & Drink,9.20,Amex Gold,expense
2026-01-24,Bakery,Food & Drink,11.00,Amex Gold,expense
2026-01-31,Bakery,Food & Drink,7.50,Amex Gold,expense
2026-01-04,Vending Machine,Food & Drink,2.50,Chase Checking,expense
2026-01-11,Vending Machine,Food & Drink,2.50,Chase Checking,expense
2026-01-18,Vending Machine,Food & Drink,2.50,Chase Checking,expense
2026-01-25,Vending Machine,Food & Drink,2.50,Chase Checking,expense
2026-01-02,Magazine Sub,Subscriptions,5.00,Amex Gold,expense
2026-01-15,Newspaper,Subscriptions,10.00,Amex Gold,expense
2026-01-20,Cloud Storage,Subscriptions,9.99,Amex Gold,expense
2026-01-01,Setup Fee,Other,50.00,Chase Checking,expense
2026-01-15,Tax Refund,Income,120.00,Chase Checking,income
2026-01-25,Rebate,Income,15.00,Chase Checking,income
